start	end	text
344000	346000	You might be giving access to something.
346000	350000	Like, if you are in some secure room in the Pentagon, by virtue of being in that secure
350000	355000	room, you're allowed to access some computer system or some database.
355000	360000	I'm not saying that's how it should be, but it can be like that.
360000	366000	It could also be an IP address given to you by your internet provider.
366000	375000	So, for example, if you live in the campus housing, your entry is provided by UCI, right?
375000	382000	As opposed to, say, me, I also live on campus, Canada campus, I think on Union Hills here,
382000	386000	next to campus, my address is provided by Cox.
386000	391000	And all my neighbors are in the cost of Google to buy them.
391000	395000	So the IP address tells you something.
395000	398000	If you believe me, the IP address, of course.
398000	400000	It could be home phone, right?
400000	403000	Of course, people don't use home phones anymore, right?
403000	405000	Landlines are rare.
405000	406000	Cell phone.
406000	411000	Cell phone used to be able to, many, many, many years ago, if you had a certain cell phone number,
411000	415000	then you had to be in a particular space, because back then there was no roaming, right?
415000	419000	So if your phone number worked, that means you were, you know, with a 949 area code,
419000	420000	you were in North County.
420000	422000	It doesn't work anymore.
422000	430000	Now, MAC addresses, could they be used for identifying where you are, right?
430000	433000	Or for anything at all?
433000	438000	Everybody knows what MAC addresses is, right?
438000	447000	Theoretically, MAC addresses supposed to tell you something about the interface of the device.
447000	448000	Any ideas?
448000	449000	No?
449000	451000	Too early?
451000	454000	MAC addresses have a special format.
454000	459000	They actually should tell you who the manufacturer of the device, or the interface.
459000	464000	It doesn't tell you necessarily where you are, and that's why I put a question mark there.
464000	466000	Also, MAC addresses are impermanent.
466000	470000	There was a time when most devices that have MAC addresses, you couldn't change them.
470000	482000	Today, you can change MAC addresses on most laptops, industrial or desktop systems, most laptops, cell phones, and other guys.
482000	488000	Also, even if MAC addresses were impermanent, MAC addresses are only used for the one hub, right?
488000	491000	That's a data link layer.
491000	496000	So, in this room, the MAC address is only visible to the access point.
496000	498000	But beyond the access point, it has no meaning, right?
498000	499000	There's nothing.
499000	501000	It doesn't longer go there.
501000	506000	Okay, then there's what you are as a human, right?
506000	513000	Now, what you are are your intrinsic features, like your DNA, right?
513000	524000	Your fingerprints, your eyes, your face geometry, your hand geometry, your vein pattern on your wrist.
524000	531000	There's gait, where you are, not a very good biometric, but that's in you.
531000	533000	All kinds of other things.
533000	538000	And then there is the one that you are familiar with the most, which is what you have, right?
538000	543000	It's a possession of something.
543000	544000	We know this, right?
544000	547000	This is the most frequent two-factor.
547000	552000	You have the app on your phone, and it's visually secure.
552000	553000	You trust the app.
553000	556000	The app will pop up, right?
556000	562000	Either with the approve, disapprove, or a code, right?
562000	567000	The temporary code, that essentially, by entering that code or hitting approve,
567000	570000	you're saying, I'm in possession of this phone.
570000	574000	And because this phone has been pre-registered as associated with you,
574000	577000	there's a reasonable assumption that because you have this phone,
577000	581000	and previously you entered the right password and username,
581000	586000	must be the case that you are a police agent.
586000	588000	And if you think of it, any other?
588000	590000	Might I miss something?
590000	595000	Any other basis upon which you can be authenticated?
595000	602000	What you know, where you are, what you are, what you have.
602000	608000	Some people suggested where you've been, but that's hard to remember.
608000	611000	So, how do our passwords work?
611000	612000	No.
612000	613000	Quiet track.
613000	614000	No.
614000	615000	Yeah.
615000	616000	Without a sign.
616000	618000	So, must not be able to remember.
618000	619000	Right.
619000	620000	So, you have a secret password.
620000	625000	You pick the secret password, and the system checks to authenticate that password.
625000	632000	Now, sometimes, of course, you don't pick the secret password,
632000	634000	sometimes the secret password is given to you.
634000	638000	Like, how many of you have used a browser to select a secret password?
638000	640000	Then you don't actually know anything.
640000	641000	Right?
641000	642000	All you do is, what?
642000	651000	You log into your computer, or your, uh, smartphone computer, like that.
651000	658000	And, the idea is that the browser, especially something like Chrome, let's say.
658000	665000	I want to pick, I use Firefox sometimes here, but let's say Chrome, which is popular.
665000	668000	Um, you also have to log into your profile, right?
668000	669000	On Chrome.
669000	674000	So, you log into the computer, you log into the browser, but the browser doesn't know what
674000	675000	you log into the computer.
675000	681000	So, in fact, you log into your profile on Chrome, and that essentially unlocks the so-called
681000	690000	password vault, or password bundle, that is stored in your profile on Chrome.
690000	692000	Not super reassuring, right?
692000	697000	But, convenient, because as long as you use that Chrome, right?
697000	699000	Actually, it doesn't have to be Chrome there, right?
699000	701000	You could be using Chrome somewhere else.
701000	707000	You know, if you set it up correctly, that password that Chrome picked for you will be available
707000	710000	once you authenticate with the right folder.
710000	711000	Right.
711000	717000	So, initialization, but typically the password initialization is you pick the password based
717000	720000	on some password rules.
720000	725000	Which vary, of course, from site to site, from time to time.
725000	730000	And, um, how do you actually communicate with the log in time for the first time, right?
730000	733000	Or for subsequent times, right?
733000	736000	There is always this risk of eavesdropping.
736000	737000	Right?
737000	746000	So, if you imagine the most naive way of communicating a password is you type your password and then
746000	748000	it just goes somewhere.
748000	753000	Now, if it's a local computer, maybe you can have a little more trust.
753000	758000	You trust the operating system that the log in prompt is actually from the operating system.
758000	759000	Right?
759000	765000	So, when you turn on your laptop, you have tablets and laptops, and when you open it, so turn
765000	771000	it on, and the log in prompt occurs, and says, usually it doesn't say username, right?
771000	772000	You can't, right?
772000	773000	But usually it just ends your password.
773000	774000	Do you know who's asking you for a password?
774000	775000	Who's still a computer?
775000	776000	Do you know who's asking?
776000	777000	Should be the operating system.
777000	778000	Should be the operating system.
778000	779000	Is it the operating system?
779000	780000	Do you have any way to verify that, in fact, the window that shows you the login is the operating
780000	781000	system window?
781000	782000	I say no.
782000	783000	I don't think you know.
783000	809000	Maybe if you have an encrypted disk, would you type in your password and connect it for
809000	820380	But even then, I mean, if it just scrolls the right things, it says bias, blah blah blah blah, authenticating, initializing, enterprise, you don't know.
821020	831820	So, I'm not trying to cause panic here, but you should be aware that, so you have a little more sure when your computer is doing a cold boot, right?
831820	835540	Because it's functionally like turned off, although that's a whole other story.
836400	838180	How do you know your device is turned off?
839000	841360	We will touch upon this in a couple of days.
841360	850120	You often tell it to turn off, you press the button, and how do you know it's off?
850120	853560	Well, you say, well, you know what, I'll just unplug it from the wall.
854560	855900	Are you sure that's on?
856740	857980	Are you sure there's no battery?
859400	860980	Do you know what's inside the device?
862340	864240	They have CMOS battery, too.
864240	871160	Ah, yeah, but you should like disassembling the device, voiding the warranty, and causing electric shock, potentially.
871680	873160	So, actually, you don't.
873220	874640	So, that's a depressing thought, right?
874680	877420	You actually don't know who is asking for the password.
877900	878720	But we trust.
878720	882180	Okay, but that's the password that goes to your operating system, right?
883320	885420	It doesn't go on the wire, right?
885520	886620	It's not sent anywhere.
886620	896240	What about if you're logging into Facebook, or, you know, your Instagram, or whatever, your favorite website, or any kind of service?
896500	897820	Like, you're going into UCI.
898440	904800	A window pops up that looks like UCI's little pop-up, with blue and stuff, you know, all the right colors.
904940	906600	How busy is this to copy?
906600	909680	So, you enter your password, and then it goes.
910000	910700	So, you don't know.
911700	917480	But let's suspend our disbelief, and say, okay, we trust that it goes, it goes to the right place, okay, okay, okay.
918620	920200	But what about how is it sent?
921100	922680	Is it sent in clear text?
924760	925620	That's bad, right?
925700	928280	It can't be sent in clear text, because then it gets used to the other part.
929880	933500	Okay, well, you hope that actually in reality, it sends over a secure connection.
933500	945100	And sort of prior to you entering the password, whatever the stub application, whether it's a browser, a client browser, or some other application on your laptop, or your phone,
945420	952080	has already established a secure, usually TLS, or VPN connection, to the other end.
955440	958700	But even then, you might not trust that connection.
958700	965820	So, probably not a good idea to send the password unencrypted, even over the connection.
965960	969420	So, what's typically done is the password is, like, hashed.
970160	971220	Remember hash functions, right?
973120	973520	Yeah.
974040	975600	Now the question is, where is it hashed?
976700	978800	So, who gets to see your password locally?
979360	982400	Maybe it's hashed in software, with a client software.
982400	986300	Maybe it's hashed in hardware.
986980	990960	Maybe there's a way for the login prompt, or if it presents you with a password prompt,
991200	994780	to communicate directly to some hardware inside your laptop of a smartphone,
995280	998280	that actually takes that password, hashes it, and that's it.
999760	1003700	And then there's a template resistant, because if it's not, maybe, you know, somebody can hack it.
1003700	1008280	And then, how does the other end check the password?
1009200	1013540	Well, and of course, is your password guessable?
1014180	1014380	Right?
1014920	1018420	None of this other stuff is important if your password is weak.
1020260	1020520	Right?
1020540	1023220	If I can, with reasonable probability, guess your password,
1023480	1029740	all the other measures to prevent theft and misuse of password, they're useless.
1029740	1035320	Because guessing a password means somebody is going to try to log in, just like you would.
1036560	1040980	So, whatever measures are taken after you enter a password and hit return,
1041100	1043100	they're useless if the password is being guessed.
1046760	1050280	Also, on most operating systems, it's difficult to keep a password file secret.
1052360	1053920	Especially like multi-user systems.
1055240	1059180	So, I know that you are all used to, essentially, single-user computers, right?
1059740	1064160	I mean, how many people usually have, like, multiple profiles on their Android?
1064600	1066980	I mean, you can do it, but it's a pain.
1067920	1070340	How many of you share your laptop with others?
1071160	1073320	My guess is not many, if any.
1074640	1078700	Maybe when you were younger, and you had, like, a sibling, and you shared your laptop.
1080560	1083700	Or the parent will let you use their laptop and create an account.
1083840	1086460	But most people, like, you're 80, they don't share laptops.
1086460	1091600	So, this does not seem relevant to you, but think about a bigger world out there.
1093020	1094180	Like, an organization.
1095800	1099100	Where you have multiple users, multiple, many users,
1099680	1102460	and they all need to log in and access the same system.
1102460	1109540	So, you need to store the password database somewhere, the password file, right?
1110540	1115100	And so, in modern systems, at least one of the Unix derived,
1115520	1117980	historically, the password file is accessible.
1119440	1120960	It's called world-readable.
1122360	1126920	And the reason it's world-readable is because it's not just the password file.
1127160	1128820	It's, essentially, the user database.
1128820	1135840	And so, programs that run on Linux, or Unix, and whatever,
1136060	1138700	all these Unix-derived operating systems,
1139040	1141940	they need to consult that file, not for the password's sake,
1142680	1148360	but for account's sake, to figure out what accounts have rights for what resources.
1149380	1150900	So, it's mostly for access control.
1151740	1151920	Okay?
1152520	1156680	This was done a long time ago, when Unix first was born, in the 80s.
1156680	1161020	Now, with hard-to-remember passwords,
1162600	1165700	if you don't pick a weak password, you pick a hard-to-remember password, you're good.
1166120	1169480	And if your memory is good, wonderful.
1170620	1173360	But what about reusing passwords?
1174940	1177640	A lot of people can remember one difficult password.
1178780	1179060	Right?
1179060	1181500	I'm sure you can remember one difficult password.
1182360	1184680	That is not, by any standard, weak.
1186360	1189260	But then, can you remember 10, 15?
1189780	1192800	These days, most of us have well over 10,
1192960	1195980	some of us, I would say, around 20 different accounts.
1196120	1199040	There have been some studies about this, but I don't think it's an immediate number.
1199040	1206880	You could carry around an object, like some kind of a device, like a smartphone,
1207120	1211520	maybe, that has your passwords all stored there in plain text.
1212140	1214940	And you unlock your phone, you access your password, and you're like, oh, great.
1215280	1216440	What if you don't have your phone?
1216700	1218060	What if somebody steals your phone?
1218060	1223780	What if a malicious app on the phone exfiltrated that file?
1225300	1230040	So there is a cottage industry out there called, you know, Password Vault.
1230220	1231980	Maybe, have anybody used Password Vault?
1233760	1239540	I mean, some of them are, there are some free, but most of them are cost-mine.
1240380	1242380	And some companies do use those.
1243740	1246220	Okay, but guess what?
1246220	1250340	Well, when you have a company that runs the services, Password Vault Vault,
1250620	1255960	a third-party Password Vault Vault, they become like honey or a swarm of bees.
1257420	1262080	They are a super attractive attack target, and just like this DA that we talked about last time,
1262980	1264880	it's like, attack me.
1265520	1267420	Because this is where the friendly jewels are.
1267560	1270880	You get into a password-drawn company, you get into their databases,
1270880	1275280	whether through outside or inside attack, and you wind up with a big dirt.
1276220	1277380	Big prize, right?
1277640	1278380	Tons of passwords.
1279540	1282100	So I'm not clear that that's a good solution.
1283120	1285140	Then there's like denial of service issues, right?
1285180	1288100	If you store your passwords on your phone, if the phone is lost,
1288440	1290420	or like what happened to me a couple of months ago,
1290640	1292820	the phone just died, and there's no way.
1292920	1294740	I mean, it's dead beyond all salvation.
1295320	1297020	There's no way you can take anything out.
1297820	1300220	So now it's stuck with having to change all the passwords.
1300300	1301400	It's like a denial of service.
1301400	1304980	And for a while, your account's essentially off-limits to you.
1306780	1310520	One of the more interesting and super easy attacks, by the way,
1311640	1313280	with a denial of service goal.
1313980	1316900	Let's say you want to attack a particular company, right?
1316960	1320020	Let's say you have a company called XYZ Incorporated
1320020	1325280	that provides access to, I don't know, cute squirrel videos.
1325480	1327400	And they specialize in cute squirrels only.
1327980	1328760	No ugly squirrels.
1328760	1333140	And all the squirrel lovers in the world create accounts there
1333140	1335320	and just love, you know, it's like popular, right?
1335960	1338920	So all this community, probably not large,
1339040	1340460	because how many squirrel lovers out there,
1340940	1344980	they actively use this service,
1345320	1348780	and then somebody who wants to just piss them off
1348780	1353000	or maybe has a competing company decides to mount it in our service.
1353000	1356760	All they need to do is not break any passwords.
1358360	1362220	All they need to do is get a large enough sample of the usernames
1362220	1365420	or people who have an account.
1366340	1368520	All you do, you can program this.
1368640	1369980	You can run into this by hand.
1370280	1371620	Essentially, try to log in.
1371800	1373820	So for every account, let's say Alice has an account.
1374280	1376880	Write the username Alice, random password, click.
1378160	1379920	Username Bob, random password, click.
1379920	1382460	Do it three times, do it four times,
1382540	1383580	whatever the little threshold.
1383700	1384820	Use it, it's a little threshold.
1385580	1387760	For number of failed logins, right?
1388780	1389480	What happens?
1390300	1391700	You're locked out.
1393000	1394900	So when real users come back to log in,
1395320	1401020	due to the large number of successive failed login attempts,
1401140	1404400	you need to contact this 1-800 number in Mauritania.
1405020	1405620	Good luck.
1406300	1407200	With awful hours.
1407420	1408320	With, yes, of course.
1408320	1412180	We're only open between 3.30 and 4.30 p.m. Hawaii time.
1412500	1412980	Good luck.
1413720	1414620	Good luck, right?
1414700	1416500	Because then, of course, they want to make sure it's you.
1417220	1419580	Even if it's done in automated fashion
1419580	1420980	with some other second factor,
1421100	1422880	all back email, blah, blah, blah, blah, blah, blah.
1423260	1425560	It's a giant waste of time.
1426840	1427800	And a logistical nightmare.
1428020	1430040	So, a great attack.
1430660	1432520	You can program a bot to do this, right?
1432520	1437540	You can go for, like, even random usernames.
1438060	1441440	Eventually, you're going to find usernames that are existing.
1442200	1442960	Login, login, login.
1443240	1443520	Bam.
1444020	1444560	Locked out.
1445540	1446900	So, no passwords need to be broken.
1446900	1451260	So, let's see.
1451940	1453200	Then there's social engineering.
1453400	1456540	Social engineering is, like, this whole thing in its own right.
1457500	1460220	You can teach a class on that, just on social engineering.
1460400	1461880	But it's not really computer science.
1462640	1465140	Social engineering is all about how to trick people.
1466100	1468760	So, maybe more appropriate than psychology or some other department.
1469760	1473840	But it's a wonderful opportunity for attackers, right?
1473920	1477380	And a lot of spectacular hacks in this world that you've heard about
1477380	1478920	that sound really, really technical.
1480420	1484160	I suspect it's TouchNet and Mirai and all these other things.
1484160	1486280	I think they all, I'm pretty sure,
1486400	1489340	they all somehow involve elements of social engineering.
1490640	1492480	Social engineering means human.
1493740	1494000	Right?
1494000	1498500	Human interaction is elicitation of sensitive information
1498500	1501520	in verbal form.
1502160	1503660	Non-analog form.
1504580	1504800	Okay?
1505820	1508480	The typical social engineering attack
1508480	1510740	probably doesn't work at night today,
1510740	1511920	but, you know,
1513200	1514840	a CIO or a, let's say,
1514980	1516520	no, it's an IT person,
1517520	1518980	in the middle of the night,
1519060	1520860	in some department of some random company,
1521220	1522800	receives a panicked phone call
1522800	1524820	from the vice president
1524820	1527700	of, I don't know,
1527760	1528580	toilet affairs,
1528700	1529160	and says,
1529380	1531460	I am stuck in
1531460	1533540	Timbuktu
1533540	1534320	on a
1534320	1536440	very important company trip.
1536660	1537740	I'm dealing with clients.
1538360	1539160	All of a sudden,
1539800	1540640	my phone broke.
1541000	1541880	I cannot log in.
1542240	1542520	Help.
1542520	1544680	Millions of dollars
1544680	1546200	of business are at stake.
1546920	1548240	The panicked IT clerk,
1548940	1549580	who's sleepy,
1550300	1551200	and probably has,
1551600	1552380	I don't know,
1552960	1554520	DeVry Institute course
1554520	1555820	or education or something,
1556820	1557700	says,
1557920	1558800	oh, of course,
1559080	1559580	yes, sir.
1560020	1560760	And says,
1560760	1561120	okay,
1561240	1562700	here's a one-time login code,
1562760	1563300	go in this,
1563360	1563780	do this.
1564920	1565160	Yeah,
1565280	1565700	that's it.
1566020	1566780	That's the end of it.
1567360	1568160	That's the back door.
1568280	1569620	That allows the attacker
1569620	1570040	to get in.
1570400	1571560	It's still super common.
1571800	1572040	Yeah,
1572140	1572700	I'm sure,
1572880	1573100	you know,
1573180	1574560	every once in a while,
1575020	1576620	in a research literature,
1577000	1577940	or even at, like,
1578020	1578640	Black Hat,
1578720	1579180	DEFCON,
1579660	1580760	you will hear talks
1580760	1581420	about people saying,
1581520	1581740	okay,
1581880	1582760	we did this kind of
1582760	1583940	probing attack
1583940	1586100	against 500 companies
1586100	1586580	than, like,
1586640	1587000	Brazil,
1587120	1587800	I heard one talk.
1588560	1591500	And the particular talk
1591500	1592360	I heard is that,
1592360	1593620	you know,
1593680	1595540	when this was about
1595540	1596320	the attacks
1596320	1597560	on the Brazilian banks,
1597840	1598060	right,
1598140	1599220	and essentially utilizing
1599220	1600000	what I just described,
1600140	1601320	calling at random hours
1601320	1602700	and pretending to be somebody.
1602800	1604000	They didn't even invent somebody.
1604080	1604720	They actually pretended
1604720	1605200	to be somebody
1605200	1606100	who worked for the company.
1606100	1608140	So, you know,
1608200	1609560	the hackers know in advance.
1609640	1610480	They've done their research.
1610580	1610820	They've looked
1610820	1611700	for the company charts
1611700	1611960	and said,
1612200	1612880	who is awake?
1613060	1614140	Oh, this guy is on vacation.
1614620	1614820	So,
1614820	1616400	it is really believable
1616400	1618740	when most of it is true.
1619660	1620240	So, they call it,
1620240	1620420	say,
1620500	1621340	I'm so-and-so.
1621660	1622460	I'm on vacation
1622460	1623340	in Florida.
1624660	1624940	Oh,
1625660	1626020	so-and-so.
1626100	1626420	Yes,
1626540	1627160	he's on vacation.
1628940	1629840	Element of truth
1629840	1630680	goes a long way.
1632260	1632460	Right?
1632520	1633020	That's kind of
1633020	1633740	human psychology.
1634340	1634860	It works.
1635360	1636040	In the U.S.,
1636040	1636800	there were studies that,
1636920	1637380	oh, you know,
1637440	1638460	just like infomercials.
1638460	1638720	I don't know
1638720	1639260	if you even know
1639260	1640280	what infomercials are,
1640640	1642980	but this is a curious thing.
1642980	1644980	When Americans listen
1644980	1646560	to a voice
1646560	1649040	of a salesman,
1649300	1650000	it helps
1650000	1650920	if their voice
1650920	1652720	has a refined British accent.
1654640	1656040	Maybe you should wonder why.
1657420	1658640	If somebody speaks like they're
1658640	1659520	from the deep south,
1659980	1660480	forget it.
1660820	1661980	If somebody speaks like they're
1661980	1663040	from Brooklyn,
1663440	1664000	forget it.
1664400	1665260	But if somebody speaks
1665260	1667040	with a refined British accent,
1667360	1668700	carefully enunciating
1668700	1669980	every single syllable,
1670240	1671520	I'll do every single word
1671520	1672100	they say.
1673400	1674220	Most of us,
1674940	1675520	this country,
1676160	1676760	oh, yes,
1676860	1677240	I'm you.
1677700	1678240	What can I do?
1679320	1679520	Right?
1679940	1680700	So that's part
1680700	1681420	of social engineering.
1682860	1683140	Right?
1683360	1683540	So,
1684840	1685740	another reason is,
1685840	1686760	another way that it works
1686760	1687240	is the attacker
1687240	1688280	will know some information
1688280	1688900	about you.
1689040	1689180	Right?
1689240	1690480	So if they want to impersonate you
1690480	1691480	or want to get into your account,
1691540	1692220	they will know information.
1692740	1693820	Social security numbers,
1693940	1694560	days of birth,
1696160	1697160	those are a lot of difficult
1697160	1698000	things to find out.
1698000	1698240	Right?
1698360	1699160	Social security numbers
1699160	1700420	used to be believed
1700420	1701040	to be secret.
1701200	1701740	Nobody believes
1701740	1702820	to be secret in these days.
1703340	1704320	Even though we still
1704320	1705100	keep them private,
1705600	1706700	but I can buy
1706700	1707740	your social security number
1707740	1708500	if you have one.
1710180	1711100	It's not going to cost me
1711100	1711600	very much.
1711940	1713100	And so if I buy it,
1713140	1713780	even if it costs me
1713780	1714660	a couple hundred dollars,
1715100	1716260	it allows me essentially,
1716860	1717100	well,
1717220	1718240	not just social security,
1718340	1719100	but along with
1719100	1719700	other information
1719700	1720460	like David Burr,
1720620	1721320	driving the last time
1721320	1721580	in December,
1721680	1722660	maybe open a bank account
1722660	1723420	online.
1725620	1726060	Great.
1726060	1728460	If I open a bank account,
1728580	1729400	I can rent something
1729400	1729960	in your name.
1731740	1732540	Like an apartment.
1733420	1734620	Establish a gas company
1734620	1735880	relationship.
1736020	1736900	Electrical company.
1737100	1737220	Right?
1737400	1737760	Essentially,
1738260	1739320	start stealing your identity.
1743220	1743480	Yeah,
1743600	1743920	so,
1744260	1746220	this is like entertainment,
1746900	1748440	but anyway,
1748620	1750260	passwords are a pain.
1750260	1752120	So we're going to focus
1752120	1752640	for a moment
1752640	1753300	on the passwords.
1755960	1756680	There have been
1756680	1757520	tons of breaches
1757520	1757900	in the middle,
1757940	1758340	but by the way,
1758360	1759080	this is super old.
1759200	1759880	All these examples
1759880	1760480	are super old,
1760620	1760980	and yet,
1761660	1762560	I don't refresh them.
1764000	1765060	They're like 20 years old.
1765420	1765640	But,
1765880	1767100	this happens every year.
1768540	1769700	The similar things
1769700	1770500	that happened
1770500	1770820	20,
1770880	1771700	25 years ago
1771700	1772360	still happen.
1773900	1774040	Right?
1774040	1778860	If you go to the
1778860	1779920	website,
1780040	1781020	passwordpresearch.com,
1781080	1781620	they have lots
1781620	1782080	of interesting
1782080	1782420	articles.
1785000	1785280	Right?
1785440	1785620	So,
1785780	1786660	why do people
1786660	1787300	want your password?
1787500	1787780	So,
1787880	1788160	of course,
1788420	1789000	one of the reasons
1789000	1789940	they may want your password
1789940	1791800	is just to log in
1791800	1792820	and just delete your files.
1792940	1793640	They just hate you
1793640	1794460	and they want to
1794460	1794820	suck.
1795820	1796600	That doesn't happen
1796600	1797020	very often.
1798220	1798720	It can.
1798940	1799220	I mean,
1799820	1800700	you make some enemies,
1800940	1801560	you probably can.
1801560	1802000	But,
1802000	1802780	this is very personal.
1803920	1804320	Generally,
1805440	1806120	what somebody wants
1806120	1806860	is more than just
1806860	1807260	your password.
1807520	1807640	So,
1808720	1810220	installing a key log
1810220	1810760	or a sniffer
1810760	1812420	is another way.
1812980	1813600	And then,
1813840	1814360	basically,
1814920	1816220	you sniff for more passwords.
1817380	1818520	Especially if your account,
1818920	1819740	getting into your account,
1819820	1820300	is privileged.
1820480	1820600	Right?
1820660	1820780	So,
1820880	1821680	maybe it will be able
1821680	1822840	to run a sniffer
1822840	1823460	that will sniff
1823460	1824420	on other people's passwords.
1825580	1826420	The other thing
1826420	1827660	is to steal the password file.
1829260	1830000	And once you steal
1830000	1830800	the password file,
1830880	1831020	well,
1831020	1831720	then you can run
1831720	1834860	password cracking too much.
1835640	1836860	Because the password file,
1836960	1837820	as you can already imagine,
1838020	1838860	doesn't actually store
1838860	1839540	a real password,
1839680	1840480	but stores hashes.
1841580	1841800	Right?
1841860	1841980	So,
1842060	1842680	all you need to do
1842680	1843740	is try a brute force adapt.
1851620	1852060	Alright?
1852160	1852420	So,
1852640	1853820	Unix-style passwords
1853820	1854460	work like this,
1854520	1854680	right?
1854740	1855920	You enter your password,
1856240	1856940	it hashes,
1857080	1857760	and then this is
1857760	1858300	the etc.
1858520	1859780	etc. password file
1859780	1861040	that has one line
1861040	1861580	for a user,
1861740	1862060	generally,
1862800	1864020	and it contains,
1864160	1864860	among other things,
1865000	1865480	so the line,
1865680	1867000	the one line is like,
1867000	1867660	it's a text file.
1868060	1868200	So,
1868280	1869540	one line for a record,
1869880	1870060	oh,
1870180	1871440	one line is a record,
1871580	1872140	and this record
1872140	1873180	is for a given user,
1873680	1874440	and it has some
1874440	1875600	non-human accounts,
1876680	1876980	okay?
1876980	1878340	net, like root,
1878460	1879740	and admin,
1879860	1880200	or whatever,
1880400	1880780	some other,
1880860	1882020	some other cron account,
1882340	1883540	but it also has one
1883540	1884220	for every user.
1884660	1885020	And so,
1886080	1887020	when you enter a username,
1887540	1888420	the username is also
1888420	1889340	stored there in the clear.
1892840	1893240	So,
1893840	1895140	people realized early on
1895140	1896260	that it's not a good idea
1896260	1898040	to store a password there,
1898160	1899340	so why don't we store a hash?
1900320	1900680	So,
1900900	1901320	great,
1902400	1903360	the system doesn't know
1903360	1903960	your password,
1904840	1905880	it only knows the hash,
1906880	1907680	and because,
1908320	1908680	presumably,
1908780	1910100	we use a good cryptographic hash,
1910180	1912020	like the kind we talked about
1912020	1913120	briefly last time,
1914540	1915680	hash is supposed to be
1915680	1916560	one way.
1918580	1918820	Yeah?
