start	end	text
311360	312580	smart people, right, mostly.
312580	314440	people with degrees
314440	315480	and experience
315480	316880	and security experts
316880	318760	to put together this protocol
318760	320200	and to evolve.
320940	322180	So, don't expect to, like,
322280	323560	understand everything
323560	325520	in one lecture
325520	326280	or even two.
327240	328320	What I give you here
328320	330420	in almost every lecture
330420	331820	is essentially
331820	332880	an appetizer
332880	334300	and if you're interested
334300	335260	in the meal,
335680	336420	you go further
336420	337460	and do a dig on your own.
338860	339160	Okay?
340060	340900	So, you will know
340900	342080	just enough to be dangerous.
342580	343500	but it's not enough
343500	344660	to be any kind of an expert.
347600	348480	So, remember,
349000	350200	what the key things
350200	351240	about SSL
351240	352760	and SSL-TLS
352760	354200	is that they operate
354200	356900	at this thin sublayer
356900	358760	above transport.
359900	361520	They are primarily oriented
361520	362880	towards the web
362880	364060	or HTTP traffic
364060	365040	but not exclusively.
365600	367200	People use SSL-TLS
367200	368220	for other things.
368980	370100	But the biggest consumer
370100	371740	is the web traffic.
372580	381200	So, we covered
381200	382220	the handshake, right?
382420	382760	Remember
382760	384300	the handshake protocol?
384780	384920	Right?
385000	385720	That's the main
385720	388380	thing about CLS
388380	389340	is without the handshake
389340	390240	nothing else works.
390240	392360	The handshake protocol
392360	393460	is very important.
393780	394160	It is
394160	396260	a full handshake
396260	396920	meaning that
396920	398040	it requires
398040	399160	an initiator,
399260	399720	the client,
399860	401080	to send something first
401080	402800	usually not authenticated
402800	404040	because the first message
404040	404940	cannot be authenticated
404940	408160	if there's no prior
408160	408700	contact.
410040	411360	And then the server replies
411360	412420	also with usually
412420	413940	not authenticated message
413940	414700	saying,
414700	416060	here's my certificate
416060	418980	and then the server
418980	419560	already computes
419560	420180	a session ID
420180	420820	because remember
420820	422000	the client supplies
422000	422880	a random number
422880	423380	a nonce
423380	424240	in the first message
424240	424920	client hello
424920	426400	the server replies
426400	427300	with a certificate
427300	428420	and the server hello
428420	429260	and that contains
429260	429760	a nonce.
430220	431700	So, given the two nonces
431700	433700	and some other stuff
433700	434900	they have a session ID
434900	436860	so they can identify
436860	439040	this particular session
439040	440360	between this client
440360	441040	and this server.
442260	442400	Okay?
442700	443560	And recall that
443560	444400	99%
444400	445720	more than 99%
445720	446220	of the cases
446220	447180	client authentication
447180	448380	isn't done
448380	449620	in SSL TLS.
449780	450680	It can be done
450680	451900	but it isn't done
451900	453300	for reasons
453300	454260	that I already discussed.
456100	456340	Right?
457640	458200	And
458200	463000	most of the time
463000	463440	today
463440	464120	you will see
464120	464780	that most
464780	467400	key exchange
467400	467720	right?
469580	469860	Not
469860	470180	right?
470260	470700	Key exchange
470700	471060	is done
471060	471820	using RSA
471820	472820	where the client
472820	473800	picks what's called
473800	474880	pre-master secret
474880	476220	encrypts it
476220	477180	using the server's
477180	477780	public key
477780	478800	all this is
478800	479680	after you check
479680	480580	the server certificate
480580	480960	right?
481300	482140	You don't do this
482140	482320	right?
482360	483280	The client abandons
483280	483780	the protocol
483780	484760	if there's something
484760	485340	wrong with the
485340	486000	server certificate.
487120	487860	Do you remember that?
489060	489400	Yes?
490440	491600	So the idea
491600	492980	in security protocols
492980	493800	is you don't
493800	495280	do heavy work
495280	495940	before you do
495940	496620	light work.
497220	498100	So the light work
498100	499240	means you make sure
499240	500840	that the server name
500840	501420	in the certificate
501420	502700	matches the URL
502700	503560	the domain name
503560	504180	of the URL.
505160	505600	Otherwise
505600	506740	you're being phished
506740	507800	and attacked.
508080	508220	Okay?
508340	509140	You're being scammed.
509140	512880	So test the map.
514240	514840	Of course
514840	515880	it doesn't help you
515880	517220	if you mistyped the name.
518900	519780	If you went
519780	520640	wanted to go to
520640	521780	wellsbargo.com
521780	522500	and you typed
522500	523960	wellsbargo.com
523960	525100	well guess what?
525440	526020	If somebody
526020	526740	if somebody
526740	527640	has a website
527640	529300	called wellsbargo.com
529300	530260	and registered it
530260	531340	and has a certificate
531340	532380	that's where you're
532380	532720	going to go
532720	533660	and SSL TLS
533660	534620	will not help you.
534620	538420	It doesn't sound
538420	539020	too good
539020	539380	does it?
541380	542120	That's called
542120	543700	that kind of attack
543700	544020	was called
544020	544840	type of squatting
544840	546160	where
546160	547460	adversaries
547460	548420	or sometimes
548420	549280	not even adversaries
549280	550160	are like
550160	551360	porn sites
551360	552100	or like
552100	553600	marketing sites
553600	554300	will set up
554300	556640	a domain name
556640	557980	a domain name
557980	558740	that closely
558740	559620	resembles a
559620	560100	legitimate
560100	560800	well-known
560800	561500	domain name
561500	563400	hoping that
563400	563860	the users
563860	565160	will mistype
565160	566900	the name
566900	569220	and they will
569220	569820	land on their
569820	570120	site.
570700	571480	In the worst case
571480	571940	you will see
571940	572840	some questionable
572840	573340	content
573340	574520	or you know
574520	575720	a walking tub
575720	576620	will be advertised
576620	576960	to you
576960	577620	by Akron.
578600	579760	In the worst case
579760	580640	you'll be fished.
582700	583000	Okay?
583080	583600	Meaning that
583600	584440	they will present
584440	584900	to you something
584900	585540	that looks like
585540	586480	a wellsbargo page
586480	587140	and you'll
587140	587680	blindly
587680	589460	most people
589460	589980	blindly
589980	590640	type their
590640	591120	username
591120	591620	and password
591620	592560	and that's it.
593280	593740	Bye-bye.
595780	596120	And so
596120	596820	SSLTLS
596820	597400	won't help you
597400	597740	with this
597740	598920	but if you
598920	600100	click
600100	600800	let's say
600800	601440	on a bookmark
601440	602060	that you put
602060	602940	a long time ago
602940	603280	that says
603280	604380	wellsbargo.com
604380	606600	SSLTLS
606600	607200	will help you
607200	608500	because there's
608500	609080	no typos
609080	609440	right?
615540	616100	Right.
616520	617280	So most
617280	617660	common
617660	618640	in
618640	619720	TLS
619720	620160	before
620160	621400	version 1.3
621400	621740	remember
621740	622260	I told you
622260	622680	there's like
622680	623120	two real
623120	623500	versions
623500	623940	out there
623940	624300	today
624300	625060	there's
625060	625280	really
625280	626300	TLS 1.2
626300	627060	and 1.3
627060	627620	they probably
627620	628000	used
628000	629560	the most
629560	630000	there are
630000	631100	lower versions
631100	631820	older versions
631820	632500	still in use
632500	633040	but they're
633040	633880	being deprecated
633880	634960	so a lot
634960	635920	of web
635920	636380	servers
636380	638220	will simply
638220	638960	not accept
638960	639700	a conversation
639700	640620	and TLS
640620	640980	session
640980	641660	with a client
641660	642400	that does
642400	642960	not support
642960	643340	at least
643340	644120	1.2
644120	645040	TLS
645040	646460	now 1.2
646460	647120	and 1.3
647120	647500	differ
647500	648000	I already
648000	648920	alluded to
648920	649220	that
649220	650340	but my
650340	650900	discussion
650900	652280	last time
652280	653120	was focused
653120	653960	on 1.2
653960	658840	so in
658840	659680	1.3
659680	661320	unlike here
661320	662480	you can
662480	662980	no longer
662980	663880	use RSA
663880	664440	to encrypt
664440	666920	okay
666920	668360	in 1.3
668360	669220	you have to
669220	669920	basically use
669920	670480	signatures
670480	671500	and use
671500	672160	Diffie-Hellman
672160	672600	or something
672600	673180	similar to
673180	673700	Diffie-Hellman
673700	674600	for key exchange
674600	675240	you cannot use
675240	675800	RSA
675800	676620	for key exchange
676620	681640	right
681640	682500	we looked at
682500	683020	how key is
683020	683540	derived
683540	683940	right
683940	684540	because remember
684540	684880	there's
684880	685920	pre-master secret
685920	686460	then there's
686460	686780	like a
686780	687500	master secret
687500	688100	well
688100	689420	in TLS 1.3
689420	690040	I believe
690040	690540	there's no
690540	691780	pre-master secret
691780	692620	because actually
692620	693540	both sides
693540	694180	contribute to
694180	694580	the key
694580	695520	and compute
695520	695900	what's called
695900	696620	the master secret
696620	697600	because Diffie-Hellman
697600	698280	is symmetric
698280	699360	symmetric
699360	700200	meaning both sides
700200	701000	contribute equally
701000	702280	and then
702280	703160	using the master
703160	703580	secret
703580	704220	we derive
704220	704700	using
704700	705960	something called
705960	706900	the k-derivation
706900	707360	function
707360	708640	a set of
708640	709160	other keys
709160	709400	right
709400	710000	that we actually
710000	710620	use for
710620	711020	encryption
711020	711660	and authentication
711660	713100	during the
713100	714220	data transfer
714220	719260	okay
719260	719980	we looked at
719980	720420	this
720420	720920	this
720920	721240	this
721240	722380	and then
722380	722600	there was
722600	723000	a summary
723000	723320	right
723320	725940	we stopped
725940	726440	around here
726440	726900	no
726900	729280	this is a
729280	729620	summary
729620	730060	of
730060	731960	a
731960	732440	handshake
732440	733520	client
733520	733900	below
733900	734600	followed by
734600	735740	three messages
735740	736780	essentially put
736780	737220	together
737220	737900	server hello
737900	738180	server
738180	738800	certificate
738800	739240	change
739240	739700	server hello
739700	740040	down
740040	740840	then
740840	742220	client returns
742220	742600	to server
742600	742880	saying
742880	743360	okay
743360	744100	this is client
744100	744700	key exchange
744700	745200	message
745200	745660	right
745660	746420	so now
746420	747020	that message
747020	747780	can be secured
747780	748220	already
748220	749180	client finished
749180	749640	by the way
749640	750160	contains
750160	750800	in mac
750800	751960	of all
751960	753140	of everything
753140	754300	exchanged so far
754300	755400	computed
755400	756260	with a key
756260	756940	that they just
756940	757400	agree on
757400	759340	master secret
759340	759660	key
759660	760880	and the last
760880	761480	message in the
761480	761840	exchange
761840	762280	is server
762280	763080	goes to client
763080	764380	says confirming
764380	765220	that we selected
765220	765560	this
765560	766400	I mean this
766400	767380	wording is confusing
767380	767720	change
767720	768380	they're not changing
768380	768920	any cyphers
768920	769140	today
769140	770180	right
770180	770940	they already agreed
770940	771600	on what cyphers
771600	771980	they use
771980	773380	important one
773380	773760	is server
773760	774160	finished
774160	774920	that can also
774920	775300	contain
775300	775800	a mac
775800	778140	of all the
778140	778820	messages exchanged
778820	779740	from the
779740	780020	service
780020	780440	perspective
780440	782460	so if the
782460	783080	survey of the
783080	783680	client have
783680	784300	the same view
784300	784760	of messages
784760	785520	sent and received
785520	786360	that means
786360	787160	no one
787160	788400	has interfered
788400	788640	with the
788640	788980	protocol
788980	791340	not a single
791340	791740	bit has
791740	792340	changed
792340	793280	then they're
793280	793940	sure that
793940	794380	they're talking
794380	794960	to each other
794960	796380	and that
796380	797060	completes the
797060	797400	handshake
797400	803060	we talked
803060	803700	about this
803700	812380	talking about
812380	812820	this
812820	813400	there's some
813400	813820	options
813820	816700	yes
816700	817300	so the other
817300	817800	thing you can
817800	818140	do
818140	819880	is if
819880	821300	client and
821300	821880	server have
821880	822500	previously
822500	823700	established
823700	825880	SSL-TLS
825880	826300	connection
826300	827520	there is already
827520	828280	a session ID
828280	828800	remember there
828800	829620	was a session ID
829620	830000	derived
830000	830800	that identified
830800	832080	the SSL-TLS
832080	832600	connection
832600	834740	the client
834740	835880	can resume
835880	836820	the connection
836820	838800	yeah
838800	839600	resume
839600	840120	means
840120	841200	hey
841200	841900	I'm still
841900	842220	here
842220	843500	I'm still
843500	843800	here
843800	845780	there's two
845780	846140	purposes
846140	846500	for that
846500	847140	this one's
847140	847600	kind of like
847600	848820	saying I'm
848820	849080	around
849080	849480	don't
849480	849700	don't
849700	849940	don't
849940	850200	flush
850200	850660	the state
850660	850900	right
850900	851260	I'm still
851260	851580	here
851580	853440	and the
853440	853940	other one
853940	854400	is
854400	854920	the other
854920	855360	purpose
855360	855920	is
855920	856460	oh
856460	857040	let's
857040	857280	change
857280	857540	keys
857540	857840	let's
857840	858280	refresh
858280	858620	key
858620	860380	okay
860380	861040	so
861040	862400	if you
862400	862940	have
862940	863680	what's called
863680	864500	session resumption
864500	864760	right
864760	865340	you can
865340	866060	essentially
866060	867820	maintain the
867820	868220	same
868220	869260	not have to
869260	869720	redo the
869720	870120	handshake
870120	870440	right
870440	870940	you can
870940	871600	maintain the
871600	871860	same
871860	872620	master secret
872620	873280	but the
873280	873860	nonsense can
873860	874260	change
874260	876320	remember
876320	876640	nonsense
876640	876920	these
876920	877440	randoms
877440	877860	they can
877860	878160	change
878160	879060	and so
879060	880020	the actual
880020	881500	encryption keys
881500	882040	and authentication
882040	883000	keys will change
883000	883480	as a result
883480	885000	you can
885000	885420	theoretically
885420	886100	also change
886100	886900	the cipher suite
886900	888740	at that point
888740	889760	most of the time
889760	890400	that doesn't happen
890400	890800	but you can
890800	890980	change
890980	891420	say ah
891420	892120	we'll be using
892120	892820	I don't know
892820	893380	RSA
893380	894720	with
894720	896500	AES
896500	897040	let's switch
897040	897440	to something
897440	897680	else
897680	898360	you could do
898360	898580	that
898580	899440	if the
899440	900200	policy allows
900200	900680	if both
900680	901040	sides
901040	901320	agree
901320	901620	you can
901620	901740	do
901740	906280	never mind
906280	906720	this
906720	908760	so
908760	909660	the main
909660	911160	I'm not going
911160	911600	to go in
911600	912300	such detail
912300	913400	over 1.3
913400	914840	it is actually
914840	915600	in some ways
915600	916180	a simpler
916180	916720	protocol
916720	919620	let's
919620	920300	zoom
920300	921020	on this
921020	925700	this is a
925700	926080	handshake
926080	927060	so what we've
927060	927800	seen is this
927800	928600	right
928600	929420	the first
929420	930380	four messages
930380	931320	are the handshake
931320	931980	and then you get
931980	932760	the HTTP
932760	933100	get
933100	933520	HTTP
933520	934000	right
934000	935580	because this
935580	935960	is what you
935960	936360	really want
936360	936620	right
936620	936980	you want
936980	938000	to fetch
938000	938440	a URL
938440	940780	so this
940780	941900	and this
941900	942220	gives you
942220	942440	like
942440	943040	this timeline
943040	943420	gives you
943420	943840	approximate
943840	944160	like
944160	944960	for comparison
944960	945680	an average
945680	946140	timeline
946140	947180	for how long
947180	947520	it takes
947520	948200	so if you look
948200	948380	at
948380	949420	it starts
949420	949980	with 0
949980	950400	and
950400	951800	it's 200
951800	952440	milliseconds
952440	953240	until you get
953240	953540	here
953540	956060	okay
956060	956520	that's two
956520	957100	round trips
957100	959540	and that's
959540	960120	pure overhead
960120	960700	and so now
960700	961420	it's pure overhead
961420	963240	as far as
963240	963800	the user
963800	964820	is concerned
964820	966280	and then the
966280	966700	real useful
966700	967160	stuff is
967160	967880	get and put
967880	968160	right
968160	968760	here
968760	970460	now with
970460	973760	version 1.3
973760	974820	there's just
974820	976800	one round trip
976800	979740	and then
979740	980660	two packets
980660	981540	plan
981540	982100	hello
982100	983720	key share
983720	984460	and then
984460	984740	server
984740	985020	hello
985020	985420	key share
985420	985900	certificate
985900	986340	certificate
986340	986660	verify
986660	987240	blah blah blah
987240	987400	blah blah
987400	988180	okay
988180	988660	we're not going
988660	988840	to go
988840	990180	through the exact
990180	990540	format
990540	991100	but
991100	991920	essentially
991920	992400	the time
992400	992920	is cut in
992920	993280	half
993280	994480	with pretty
994480	994780	much
994780	995280	the same
995280	995800	result
995800	996380	that the
996380	996900	two parties
996900	997800	there's still
997800	998360	a handshake
998360	998780	it's just
998780	999760	a two message
999760	1000240	handshake
1000240	1000780	not a four
1000780	1001100	message
1001100	1001560	handshake
1001560	1003800	and it's
1003800	1004420	faster
1004420	1004880	obviously
1004880	1005140	right
1005140	1005700	so 100
1005700	1006180	milliseconds
1006180	1006920	you might
1006920	1007780	not really
1007780	1008120	care
1008120	1009800	but over
1009800	1010200	time
1010200	1011060	this adds up
1011060	1011260	right
1011260	1011660	for many
1011660	1012120	users
1012120	1012800	over time
1012800	1013080	right
1013080	1014360	a lot of
1014360	1014760	traffic
1014760	1015620	a lot of
1015620	1015980	delays
1015980	1017340	so cutting
1017340	1017820	things in
1017820	1018220	half is
1018220	1018520	better
1018520	1020060	you had a
1020060	1020300	question
1020300	1021420	what's the
1021420	1021960	improvement
1021960	1022340	that
1022340	1023020	okay
1023020	1024180	many
1024180	1024880	there are
1024880	1025180	a number
1025180	1025820	of improvements
1025820	1027020	one of the
1027020	1027400	things is
1027400	1028120	simplification
1028120	1028940	so
1028940	1030220	TLS
1030220	1031220	1.2
1031220	1031760	and B4
1031760	1033080	they have
1033080	1033740	way too
1033740	1033940	many
1033940	1034640	cipher suites
1034640	1035920	some of
1035920	1036160	them
1036160	1037320	got deprecated
1037320	1037900	because they
1037900	1038540	were like
1038540	1039720	RC4
1039720	1040600	is a
1040600	1040940	cipher
1040940	1042460	MD5
1042460	1042800	a hash
1042800	1043240	function
1043240	1044820	they are
1044820	1045140	broken
1045140	1046100	or at least
1046100	1046540	they are
1046540	1046940	no longer
1046940	1047340	secure
1047340	1048440	DDS
1048440	1049420	triple
1049420	1049860	DES
1049860	1051360	no longer
1051360	1051760	considered
1051760	1052240	secure
1052240	1052640	or too
1052640	1053120	expensive
1053120	1053680	I forget
1053680	1053980	exactly
1053980	1054180	yeah
1054180	1054460	I think
1054460	1054600	it's
1054600	1054900	no longer
1054900	1055200	considered
1055200	1055500	secure
1055500	1056160	so
1056160	1057980	most of
1057980	1058200	the
1058200	1058860	time
1058860	1059720	today
1059720	1061120	you
1061120	1061280	will
1061280	1061520	see
1061520	1062100	AES
1062100	1063520	as
1063520	1063780	the
1063780	1064840	encryption
1064840	1065180	as
1065180	1065300	the
1065300	1065500	bulk
1065500	1065780	encryption
1065780	1066140	you
1066140	1066220	will
1066220	1066420	see
1066420	1067900	SHA-256
1067900	1068080	you
1068080	1068280	will
1068280	1068500	not
1068500	1068660	see
1068660	1069640	SHA-128
1069640	1070220	anymore
1070220	1070920	so
1070920	1072520	rather than
1072520	1073080	hundreds
1073080	1073540	of
1073540	1074600	cipher suites
1074600	1075040	I think
1075040	1075520	the
1075520	1076720	main ones
1076720	1077100	are like
1077100	1078040	five or six
1078040	1078320	today
1078320	1080420	and
1080420	1080980	they're not
1080980	1081720	using RSA
1081720	1082220	anymore
1082220	1082700	so
1082700	1083900	also
1083900	1084440	the names
1084440	1084700	of the
1084700	1085180	cipher suites
1085180	1085460	changed
1085460	1085620	like
1085620	1085860	I remember
1085860	1086260	I was showing
1086260	1086580	like
1086580	1087640	TLS
1087640	1088680	RSA
1088680	1089280	with
1089280	1089920	blah blah blah
1089920	1090180	blah blah
1090180	1091020	and
1091020	1091900	the first
1091900	1092120	thing
1092120	1092340	that
1092340	1092940	this
1092940	1093780	string
1093780	1093980	would
1093980	1094420	tell you
1094420	1094740	is
1094740	1095460	how
1095460	1095740	are we
1095740	1096120	exchanging
1096120	1096520	keys
1096520	1097120	which is
1097120	1097420	how
1097420	1098000	RSA
1098000	1098300	when you
1098300	1098580	client
1098580	1099000	increase
1099000	1099680	a random
1099680	1099940	number
1099940	1100360	for the
1100360	1101280	server
1101280	1101900	and the
1101900	1102100	second
1102100	1102400	one
1102400	1102860	was
1102860	1105560	how
1105560	1105760	does
1105760	1106000	server
1106000	1106460	authenticate
1106460	1108100	also
1108100	1108540	RSA
1108540	1109180	because
1109180	1109380	he
1109380	1109900	decrypts
1109900	1110440	right
1110440	1110960	and
1110960	1111440	something
1111440	1111840	that the
1111840	1112100	client
1112100	1112340	sent
1112340	1112560	to him
1112560	1112680	and
1112680	1112820	can
1112820	1113460	implicitly
1113460	1113700	authenticate
1113700	1114300	so
1114300	1114620	that's
1114620	1114900	gone
1114900	1116540	instead
1116540	1116720	of
1116720	1116920	that
1116920	1117140	they
1117140	1117280	no
1117280	1117480	longer
1117480	1117740	say
1117740	1117980	how
1117980	1118100	you
1118100	1118420	exchange
1118420	1118540	the
1118540	1118680	keys
1118680	1118980	everything
1118980	1119220	is
1119220	1119380	done
1119380	1119800	essentially
1119800	1120040	by
1120040	1120160	a
1120160	1120400	DPA
1120400	1120620	element
1120620	1122160	or
1122160	1122460	some
1122460	1122960	version
1122960	1123120	of
1123120	1123360	DPA
1123360	1123560	element
1123560	1123820	which
1123820	1124020	is
1124020	1124500	either
1124500	1124920	elliptic
1124920	1125240	curve
1125240	1125640	or
1125640	1126480	normal
1126480	1129240	and
1129240	1131200	the
1131200	1132160	signatures
1132160	1132820	are now
1132820	1133300	required
1133300	1133520	so
1133520	1133740	there's
1133740	1133880	no
1133880	1134080	more
1134080	1134580	implicit
1134580	1135140	authentication
1135140	1137560	so
1137560	1137880	now
1137880	1138280	both
1138280	1139400	you
1139400	1139600	know
1139600	1140080	both
1140080	1140520	clients
1140520	1140660	and
1140660	1140820	the
1140820	1141100	server
1141100	1141460	have
1141460	1141620	to
1141620	1141880	stop
1141880	1142040	well
1142040	1142240	the
1142240	1142480	server
1142480	1142680	has
1142680	1142840	to
1142840	1143100	stop
1143100	1143500	basically
1143500	1144480	and
1144480	1144600	the
1144600	1144920	client
1144920	1145200	can
1145200	1145600	sign
1145600	1145860	with
1145860	1146040	the
1146040	1147760	ephemeral
1147760	1148060	key
1148060	1148180	they
1148180	1148460	just
1148460	1148840	generated
1148840	1149940	okay
1149940	1151140	so
1151140	1151340	it's
1151340	1151480	a
1151480	1152080	strictly
1152080	1153000	stronger
1153000	1154420	syntax
1154420	1154920	strictly
1154920	1155320	more
1155320	1155760	higher
1155760	1156400	security
1156400	1157380	at
1157380	1157660	half
1157660	1157820	the
1157820	1158200	cost
1158200	1159300	so
1159300	1159640	that
1159640	1159860	higher
1159860	1160300	security
1160300	1160900	enables
1160900	1161260	the
1161260	1161600	reduction
1161600	1161800	in
1161800	1162100	messages
1162100	1163600	no
1163600	1163880	it's
1163880	1164100	just
1164100	1164900	no
1164900	1165220	not
1165220	1165540	not
1165540	1166680	not
1166680	1166920	higher
1166920	1167260	no
1167260	1167480	it's
1167480	1167620	a
1167620	1168180	reduction
1168180	1168480	in
1168480	1168840	messages
1168840	1169260	and
1169260	1169620	shading
1169620	1169880	off
1169880	1170040	some
1170040	1170200	of
1170200	1170380	the
1170380	1171480	questionable
1171480	1172600	currently
1172600	1173140	questionable
1173140	1173800	algorithms
1173800	1174680	allows us
1174680	1174980	to do
1174980	1175280	this
1175280	1176460	because
1176460	1176840	what the
1176840	1177180	client
1177180	1178120	can do
1178120	1178520	now
1178520	1178820	you see
1178820	1179300	the client
1179300	1179720	hello
1179720	1180380	is still
1180380	1181260	in the
1181260	1181480	form
1181480	1182380	the client
1182380	1182740	says
1182740	1183420	I don't know
1183420	1183880	anything about
1183880	1184360	this server
1184360	1184640	right
1184640	1185960	I just
1185960	1186240	know the
1186240	1186580	URL
1186580	1188280	so what I want
1188280	1188840	is I want a
1188840	1189320	certificate
1189320	1191160	that says
1191160	1192020	that this
1192020	1193080	URL is inside
1193080	1193620	the certificate
1193620	1194980	and it's signed
1194980	1195420	by somebody
1195420	1195980	I trust
1195980	1196960	right
1196960	1198580	so
1198580	1199720	it's like
1199720	1200380	essentially
1200380	1201680	you come
1201680	1201880	to
1201880	1202620	I'm a
1202620	1203180	I'm a
1203180	1204440	hiring manager
1204440	1205180	at a company
1205180	1205920	you come to me
1205920	1206380	and you say
1206380	1207000	I have a UCI
1207000	1207380	degree
1207380	1209420	I may not have
1209420	1210380	ever heard of UCI
1210380	1211840	okay
1211840	1212900	and I've never met
1212900	1213180	you
1213180	1215200	but if you give me
1215200	1215940	a signed
1215940	1216680	diploma
1216680	1219020	signed by UCI
1219020	1219520	register
1219520	1221280	and then I look up
1221280	1222120	UCI register
1222120	1223200	and I see that
1223200	1224160	they are certified
1224160	1224960	by University of
1224960	1225500	California
1225500	1226960	Central Authority
1226960	1228260	and that one
1228260	1228820	is certified
1228820	1229800	by a California
1229800	1230800	Department of Education
1230800	1231740	well
1231740	1232920	I trust
1232920	1233800	the Department of Education
1233800	1234560	of the state
1234560	1235140	of California
1235140	1236080	you see what I mean
1236080	1237140	so I know
1237140	1238020	their root certificate
1238020	1238860	I will verify
1238860	1239920	the UC certificate
1239920	1240940	then I will verify
1240940	1241880	UCI certificate
1241880	1243220	then I will verify
1243220	1244000	your certificate
